Time ,Time (s),Force (N),Load Cell,Pre Time (s),Time (s),Force (N),Instron,,,
,,,,74.008,66.66,276.2156,,,,
,,,,74.154,66.806,281.2348,,,,
,,,,74.33,66.982,286.2618,,,,
,,,,74.446,67.098,291.3352,,,,
,,,,74.586,67.238,296.3447,,,,
,,,,74.74,67.392,301.3776,,,,
,,,,74.886,67.538,306.4423,,,,
,,,,75.06,67.712,311.5533,,,,
,,,,75.178,67.83,316.5914,,,,
,,,,75.328,67.98,321.6153,,,,
,,,,75.47,68.122,326.6205,,,,
,,,,75.614,68.266,331.7199,,,,
,,,,75.784,68.436,336.8495,,,,
,,,,75.93,68.582,341.8885,,,,
,,,,76.086,68.738,346.9318,,,,
,,,,76.224,68.876,351.9437,,,,
,,,,76.338,68.99,356.9594,,,,
,,,,76.512,69.164,361.9879,,,,
,,,,76.65,69.302,366.9962,,,,
,,,,76.81,69.462,372.012,,,,
,,,,76.95,69.602,377.0513,,,,
,,,,77.058,69.71,382.1269,,,,
,,,,77.232,69.884,387.1721,,,,
,,,,77.374,70.026,392.1938,,,,
,,,,77.548,70.2,397.2421,,,,
,,,,77.688,70.34,402.3037,,,,
,,,,77.792,70.444,407.317,,,,
,,,,77.952,70.604,412.3396,,,,
,,,,78.1,70.752,417.3902,,,,
,,,,78.266,70.918,422.4211,,,,
,,,,78.412,71.064,427.435,,,,
,,,,78.534,71.186,432.4551,,,,
,,,,78.672,71.324,437.5184,,,,
,,,,78.83,71.482,442.5387,,,,
,,,,78.99,71.642,447.5641,,,,
,,,,79.03,71.682,450.054,,,,
,,,,79.032,71.684,450.1291,,,,
,,,,79.118,71.77,451.6534,,,,
,,,,79.37,72.022,446.5548,,,,
,,,,79.494,72.146,441.5337,,,,
,,,,79.622,72.274,436.4967,,,,
,,,,79.75,72.402,431.4652,,,,
,,,,79.896,72.548,426.3744,,,,
,,,,80.046,72.698,421.2669,,,,
,,,,80.214,72.866,416.2658,,,,
,,,,80.31,72.962,411.2163,,,,
,,,,80.46,73.112,406.204,,,,
,,,,80.604,73.256,401.1085,,,,
,,,,80.75,73.402,396.0777,,,,
,,,,80.916,73.568,391.0423,,,,
,,,,81.008,73.66,385.9704,,,,
,,,,81.164,73.816,380.9519,,,,
,,,,81.312,73.964,375.9188,,,,
,,,,81.47,74.122,370.8125,,,,
,,,,81.626,74.278,365.7773,,,,
,,,,81.72,74.372,360.7731,,,,
,,,,81.872,74.524,355.75,,,,
,,,,82.022,74.674,350.7246,,,,
,,,,82.176,74.828,345.658,,,,
,,,,82.33,74.982,340.6467,,,,
,,,,82.424,75.076,335.6438,,,,
,,,,82.58,75.232,330.5654,,,,
,,,,82.744,75.396,325.5577,,,,
,,,,82.89,75.542,320.4723,,,,
,,,,83.046,75.698,315.3963,,,,
,,,,83.138,75.79,310.387,,,,
,,,,83.298,75.95,305.3684,,,,
,,,,83.456,76.108,300.3365,,,,
,,,,83.6,76.252,295.2578,,,,
,,,,83.752,76.404,290.217,,,,
,,,,83.85,76.502,285.2106,,,,
,,,,84.018,76.67,280.1923,,,,
,,,,84.172,76.824,275.1201,,,,
,,,,84.322,76.974,270.1121,,,,
,,,,84.466,77.118,265.1023,,,,
,,,,84.582,77.234,260.0925,,,,
,,,,84.734,77.386,255.0695,,,,
,,,,84.886,77.538,250.045,,,,
,,,,85.036,77.688,244.9901,,,,
,,,,85.178,77.83,239.9901,,,,
,,,,85.324,77.976,234.9846,,,,
,,,,85.444,78.096,229.8862,,,,
,,,,85.612,78.264,224.8088,,,,
,,,,85.754,78.406,219.7984,,,,
,,,,85.912,78.564,214.7631,,,,
,,,,86.068,78.72,209.7314,,,,
,,,,86.168,78.82,204.7055,,,,
,,,,86.33,78.982,199.6435,,,,
,,,,86.476,79.128,194.598,,,,
,,,,86.64,79.292,189.5931,,,,
,,,,86.79,79.442,184.5363,,,,
,,,,86.928,79.58,179.5122,,,,
,,,,87.058,79.71,174.4264,,,,
,,,,87.212,79.864,169.3618,,,,
,,,,87.374,80.026,164.3473,,,,
,,,,87.536,80.188,159.3423,,,,
,,,,87.664,80.316,154.3026,,,,
